name,address,latitude,longitude,loc_rating,rating
Apartments of South Yarra,"46 Arthur Street, South Yarra, 3141 Melbourne, Australia",-37.8419035,144.993671,9.1,8.7
Waterfront Signature Apartment,"60 Siddeley Street, Docklands, 3008 Melbourne, Australia",-37.8228429,144.9523646,10,10
Melbourne Short Stay Apartments - Power Street,"67 Power Street, Southbank., Southbank, 3006 Melbourne, Australia",-37.8238605,144.9631986,8.7,8.5
Mantra St Kilda Road,"568 St Kilda Road , 3004 Melbourne, Australia",-37.8471823,144.9786951,8.6,8.4
Pegasus Apart-Hotel,"206 A'Beckett Street, 3000 Melbourne, Australia",-37.8101492,144.9571351,8.8,8.6
The Escape in Southern Cross Station,"Rose Lane, 3000 Melbourne, Australia",-37.8152243,144.9541591,9.5,9.1
The Jazz Corner Hotel,"352 William Street, 3000 Melbourne, Australia",-37.8112494,144.956605,9,8.8
Carlton Lygon Lodge Studio Apartments,"220 Lygon Street, , Carlton, 3053 Melbourne, Australia",-37.801868,144.967,9.2,8.6
Amity Apartment Hotels,"27-29 Claremont Street, South Yarra, 3141 Melbourne, Australia",-37.8371488,144.9937985,9,8.7
Melbourne Marriott Hotel,"Corner Exhibition And Lonsdale Streets, 3000 Melbourne, Australia",-37.8100613,144.9696932,9.3,9
Serviced Apartments Melbourne - Teri,"85 Market St, Southbank, South Melbourne, 3006 Melbourne, Australia",-37.8301709,144.9580814,8.8,8.1
ACD Apartments,"7 Caravel Lane, Docklands, 3008 Melbourne, Australia",-37.8140271,144.9422125,9,8.4
Sofitel Melbourne On Collins,"25 Collins Street, 3000 Melbourne, Australia",-37.8140301,144.9729911,9.4,8.9
Punthill Northbank,"560 flinders street, 3000 Melbourne, Australia",-37.8206319,144.9557428,9,8.9
Pan Pacific Melbourne,"2 Convention Centre Place, South Wharf, Southbank, 3006 Melbourne, Australia",-37.8247906,144.9511172,9.2,9
The Westin Melbourne,"205 Collins Street, 3000 Melbourne, Australia",-37.815847,144.9674235,9.6,9.2
Docklands Private Collection - New Quay,"7/198 Harbour Esplanade, Docklands, 3008 Melbourne, Australia",-37.8139288,144.944923,9.2,8.8
Anchorage Apartments Hampton,"12 Railway Walk North, Hampton, 3188 Melbourne, Australia",-37.9378907,145.0016624,8.7,8.7
Apartment 101,"36 La Trobe Street, 3000 Melbourne, Australia",-37.8082574,144.9676359,9.1,8.8
Honey Apartments,"39 Queen Street , 3000 Melbourne, Australia",-37.817888,144.9617372,9.7,8.9
Amazing Accommodations : South Yarra,"32, Bray St South Yarra, South Yarra, 3141 Melbourne, Australia",-37.8444692,144.9955271,9.2,8.8
Oaks WRAP on Southbank,"133-139 City Road, Southbank, 3006 Melbourne, Australia",-37.8234754,144.9635828,8.9,8.7
Pullman Melbourne Albert Park,"65 Queens Road, Albert Park, 3004 Melbourne, Australia",-37.8499725,144.9787643,8.5,8.4
Complete Host Manhattan Apartments,"33 Rose Lane, 3000 Melbourne, Australia",-37.8150102,144.9540997,9.5,9.3
"La Maison - Great View, Free Parking, Pool, Gym, Perfectly located 2BR apartment","22 Jane Bell Lane, 3000 Melbourne, Australia",-37.8102205,144.9662652,9.2,9.2
Pride Docklands Waterfront Apartment City View,"883 Collins Street, Docklands, 3008 Melbourne, Australia",-37.8211211,144.9425286,9.1,8.6
Flinders Luxury Penthouse,"7 Katherine Place 2608, 3000 Melbourne, Australia",-37.8201988,144.9564639,9.6,9.6
Parkview Hotel St Kilda Road,"562 St Kilda Rd, 3004 Melbourne, Australia",-37.8463176,144.9784584,8.8,8.7
Oaks South Yarra,"1A Yarra Street, South Yarra, 3141 Melbourne, Australia",-37.8387215,144.9928963,9.2,8.6
Parc Hotel,"1091 Plenty Road, 3083 Melbourne, Australia",-37.7093519,145.0497192,8.4,8.7
Readyset on Collins,"620 Collins Street, 3000 Melbourne, Australia",-37.8188373,144.9543434,9.2,8.1
The Sebel Melbourne Docklands,"18 Aquitania Way, Docklands, Docklands, 3008 Melbourne, Australia",-37.8135752,144.9429943,9,8.6
Canvas Suites on Russell Place,"18 Russell Place, 3000 Melbourne, Australia",-37.8134924,144.9673838,9.7,8.8
Luxuries CBD Apartment with Views,"28 southgate avenue southbank, Southbank, 3006 Melbourne, Australia",-37.8206451,144.967594,9.5,8.9
HFN Waterside Melbourne Apartment,"883-889 Collins street, Docklands, Docklands, VIC 3008 Melbourne, Australia",-37.8211211,144.9425286,8.9,8.3
Adara Richmond,"185 Lennox Street , Richmond, 3121 Melbourne, Australia",-37.817503,144.9950052,9,8.6
Art Series - The Olsen,"637 - 641 Chapel Street, South Yarra, South Yarra, 3141 Melbourne, Australia",-37.8379093,144.9955689,9.2,8.8
St Georges Motor Inn,"334 St Georges Road, Thornbury, 3071 Melbourne, Australia",-37.759245,144.993598,8.6,8.6
New Eureka 108 Hotel Apartments,"70 Southbank Boulevard, Southbank, 3006 Melbourne, Australia",-37.8232421,144.9640661,8.6,8.3
The Sebel Residences Melbourne Docklands,"18 Aquitania Way, Docklands, Docklands, 3008 Melbourne, Australia",-37.8135752,144.9429943,8.6,8
Melbourne River Views,"555 Flinders Street , 3000 Melbourne, Australia",-37.820969,144.9564872,9.9,9.9
The Crossley Hotel,"51 Little Bourke Street, 3000 Melbourne, Australia",-37.8110568,144.9710853,9.3,8.6
Quest Hawthorn,"616 Glenferrie Road,, 3122 Melbourne, Australia",-37.8235172,145.0356866,8.9,8.5
Apartments @ 133 City,"133-139 City Road, Southbank, 3006 Melbourne, Australia",-37.8234754,144.9635828,9.2,8.5
Pullman Melbourne On the Park,"192 Wellington Parade, East Melbourne, 3002 Melbourne, Australia",-37.8157506,144.9838159,9.1,8.5
Oaks Southbank,"57 - 61 City Road Southbank, Southbank, 3006 Melbourne, Australia",-37.8221297,144.9659786,9.2,8.7
Middle Park Hotel,"102 Canterbury Road, Albert Park, 3206 Melbourne, Australia",-37.8499044,144.9650126,8.7,8
Quality Hotel Melbourne Airport,"265 Mickleham Rd, Tullamarine, Tullamarine, 3043 Melbourne, Australia",-37.6817869,144.8823194,8.7,8.4
Southern Cross Serviced Apartments,"200 Spencer Street, 3000 Melbourne, Australia",-37.816228,144.9532465,9.3,8.5
Flinders Landing Apartments,"161 Flinders Lane, 3000 Melbourne, Australia",-37.816004,144.969059,9.5,8.7
Oaks on William,"350 William Street, 3000 Melbourne, Australia",-37.8112464,144.9566068,8.8,8.6
Collins Street Apartments,"233 Collins Street Apartment 516, 3000 Melbourne, Australia",-37.8160036,144.9661659,9.7,9.1
South Wharf Melbourne,"321/20 Convention Centre Place, Southbank, 3006 Melbourne, Australia",-37.8250607,144.9503296,9.8,9.4
Melbourne Short Stay Apartments On Whiteman,"63 Whiteman Street, Southbank, 3006 Melbourne, Australia",-37.8260535,144.9568461,9.3,8.6
Apartment 88,"88 Kavanagh Street 203, Southbank, 3006 Melbourne, Australia",-37.8247596,144.9629475,9.4,9.5
Empire Melbourne Central by Apartments of Melbourne,"89 A'Beckett St, Melbourne VIC 3000, Australia, 3000 Melbourne, Australia",-37.8092747,144.9608815,9.2,8.8
The Como Melbourne - MGallery by Sofitel,"630 Chapel Street, South Yarra, 3141 Melbourne, Australia",-37.8390841,144.9963602,9.2,8.9
AH accommodation@ spencer,"33 Rose Lane, 3000 Melbourne, Australia",-37.8150102,144.9540997,8.9,8.8
Park Hyatt Melbourne,"1 Parliament Square, Off Parliament Place, East Melbourne, 3002 Melbourne, Australia",-37.8110852,144.9766297,9.3,9.3
Collins Street Residences by Apartments of Melbourne,"568 Collins Street, 3000 Melbourne, Australia",-37.8183759,144.9554361,9.2,8.6
Crest on Park,"46 Park Street, 3182 Melbourne, Australia",-37.859002,144.972846,9,8.9
Summit In Southbank,"Apartment 3102, Southbank One, 180 City Road, Southbank, 3006 Melbourne, Australia",-37.8237962,144.9619272,9.3,9.4
Readyset on Upper West Side,"220 Spencer Street, 3000 Melbourne, Australia",-37.8156694,144.952988,8.9,8.1
Stamford Plaza Melbourne,"111 Little Collins Street, 3000 Melbourne, Australia",-37.8135512,144.9699174,9,8.5
Turnkey Accommodation-North Melbourne,"33 Blackwood Street, North Melbourne, 3051 Melbourne, Australia",-37.800576,144.9557042,9.3,9.1
Quest St Kilda Bayside,"1 Eildon Road, 3182 Melbourne, Australia",-37.8633027,144.9754983,9,8.5
ULTIQA Little Collins (located at the Hero Apartment Building),"140 Little Collins Street, 3000 Melbourne, Australia",-37.8134628,144.969041,9.2,8.1
Gem Apartments Short Stay,"63 Whiteman St, Southbank, 3006 Melbourne, Australia",-37.8260535,144.9568461,9.2,8.3
Novotel Melbourne Central,"399 Little Lonsdale Street, 3000 Melbourne, Australia",-37.8120449,144.960108,9.3,9
Rydges Melbourne,"186 Exhibition Street, 3000 Melbourne, Australia",-37.811318,144.9707217,9,8.1
Mantra on The Park,"333 Exhibition Street, 3000 Melbourne, Australia",-37.8078956,144.9682873,8.8,8.3
SoYa Apartment Hotel,"4 Darling Street, South Yarra, 3141 Melbourne, Australia",-37.8383892,144.9917558,9.6,9.4
Mantra on Russell,"222 Russell Street, 3000 Melbourne, Australia",-37.8112936,144.9678227,9.3,8.9
Sheraton Melbourne Hotel,"27 Little Collins Street, 3000 Melbourne, Australia",-37.8127232,144.9726251,9,8.9
Collins Hotel,"182 Collins Street, 3000 Melbourne, Australia",-37.814973,144.967492,9.4,8.1
Fraser Place Melbourne,"19 Exploration Lane, 3000 Melbourne, Australia",-37.8089339,144.9680888,8.9,8.7
Art Series - The Cullen,"164 Commarcial Road, Prahran, Prahran, 3181 Melbourne, Australia",-37.8467793,144.9916795,9.4,9.2
Vibe-Modern 2 Bed Apartment,"220 Barkly Street Unit 31, 3182 Melbourne, Australia",-37.8709428,144.9807051,9.7,9.5
Adina Apartment Hotel Melbourne,"189 Queen Street, 3000 Melbourne, Australia",-37.8142669,144.9599797,9.3,8.8
Abode 316,"108 Flinders St, 3000 Melbourne, Australia",-37.81615,144.9711221,10,9.7
Comfort Hotel East Melbourne,"90 Albert Street, East Melbourne, 3002 Melbourne, Australia",-37.8105896,144.9880763,8.5,8
Best Views on Collins,"889 Collins Street , Docklands, 3008 Melbourne, Australia",-37.8208882,144.9416138,9.9,9.9
Docklands Waterfront Luxury Villa,"104 South Wharf Drive, Docklands, 3008 Melbourne, Australia",-37.8219201,144.9355231,8.8,9.2
Somerset on Elizabeth Melbourne,"250 Elizabeth Street, 3000 Melbourne, Australia",-37.8125531,144.9626799,9.6,8.8
Experience Bella Hotel Apartments,"250 City Road, Southbank, 3006 Melbourne, Australia",-37.8257579,144.9595488,8.7,8.3
Park Squire Motor Inn & Serviced Apartments,"94 Flemington Rd, , North Melbourne, 3052 Melbourne, Australia",-37.7983111,144.9530758,8.1,8.2
HFN Crown Southbank Riversides Apartment,"2003 / 9 Power street, Southbank, Southbank, 3006 Melbourne, Australia",-37.8231515,144.9613723,9.1,8.3
Quest Docklands Apartment Hotel,"750 Bourke Street Docklands, Docklands, 3008 Melbourne, Australia",-37.8184713,144.9476605,9.3,8.9
28 Nights Apartments,"187 City Road, Southbank, 3006 Melbourne, Australia",-37.8250629,144.9617704,8.6,8.4
City Tempo Melbourne CBD,"353 Queen Street, 3000 Melbourne, Australia",-37.8102336,144.9583313,8.9,8.5
Clarion Suites Gateway,"1 William Street, 3000 Melbourne, Australia",-37.8195037,144.9595058,9.3,9
HFN Southern Cross Apartment,"568 Collins street, 3000 Melbourne, Australia",-37.8183759,144.9554361,8.9,8.7
